Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Benin,BEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,20.0005397796631,21.7104396820068,23.5846691131592,24.9001197814941,26.7041492462158,..,..,..,..,..,..,45.7294692993164,..,52.0378494262695,52.5952682495117,55.1333084106445,55.2945899963379,..,..,..,43.9858703613281,44.2737998962402,43.5606498718262,..
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,54176.377748356,59092.8759704678,58862.6907986795,61829.3240116897,64790.2739198061,67771.4683756141,73590.1160702265,77894.0646213844,77556.4350038925,73336.9875151545,72188.6928304585,70911.542318725,69149.0500342682,71519.6398526584,71988.5383627822,75943.4642970922,80412.1834895484,85680.9701917217,85978.2177227009,90984.4576708318,85146.4006275696,92319.6714861219,105142.409967183,114372.049927372
Bermuda,BMU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,85.5536804199219,84.8986434936523,85.6302795410156,87.598030090332,86.630241394043,82.0112533569336,..,..,..,89.5964279174805,88.0554428100586,86.2392807006836,85.0652008056641,85.4845428466797,86.8070526123047,..,..,..,..,..,..,..,74.3967514038086
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3113.045439264,3338.49246893448,3662.80907177599,3942.28144580049,4172.78217119849,4523.35970644529,4860.27017151102,5728.91569471022,6035.21741147854,6466.0974491583,7245.77263522404,7935.46760973088,8577.40731901004,8666.91063590069,9323.39448941386,10213.8139608922,11273.2823807676,11677.4142659974,11969.5615003305,12909.1009840399,12475.048003428,13458.812666743,15063.8105763072,16215.1520073153
Bhutan,BTN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,30.5185794830322,33.8684310913086,..,..,..,43.8849105834961,46.4304084777832,50.2249412536621,53.5040893554688,58.5537414550781,62.9354400634766,66.9861221313477,72.1302185058594,76.680793762207,84.1404190063477,85.2313079833984,85.6766128540039,86.5600433349609,87.5722870683987,90.6185575459377,89.7711428873908,92.5248380307052,89.9829129407455,86.8564415582911
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4113.04245150496,4204.93622748505,4303.83514661302,4432.92085269619,4662.97077714293,4937.86997682486,5244.16021230209,5536.56815653658,5889.94339081976,6024.05947397942,6245.33863197671,6597.96217604867,7183.82602452107,8068.72017230776,8628.94266128598,8757.31777115406,9242.02728323599,10420.3923250933,10758.4075594003,11005.3541169156,9580.98962081658,11202.4409836707,12306.7293128695,12892.1249578777
Bolivia,BOL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,72.7576370239258,75.7862701416016,80.6306991577148,83.4697265625,86.3809967041016,87.4255523681641,86.5906295776367,86.0495986938477,85.3683776855469,83.7523803710938,87.7601876397411,85.300407946135,87.0108512162742,88.7650557098116,89.4564819756877,90.6139031958796,90.6152852803158,89.4000212849504,88.7218999579042,88.8235046622532,88.8672369779995,90.4144137410078,90.3729338176816,91.3676827044767
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4147.92009953318,4306.65243238352,4664.66989005718,4917.24213532278,5407.42779562896,5955.82944980971,6869.02619326211,7686.12870574572,8586.76034539604,8698.13506849581,9085.74294205836,9761.47624447272,10121.1905288877,10808.2715682853,11167.8379494776,11845.4522958172,12899.3962262974,13627.0944831749,14858.5590469909,16428.8136580107,16369.9353197836,18286.7373324233,21651.2952374862,23376.2227477141
Bosnia and Herzegovina,BIH,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,80.9894485473633,85.227912902832,87.0009307861328,85.5183715820312,87.7279968261719,90.7853088378906,92.2983932495117,90.2868576049805,85.716178894043,83.1699523925781,83.668083190918,85.6409912109375,85.5401306152344,85.5591125488281,85.6761474609375,87.0373992919922,87.8663787841797
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9380.37607253972,9419.79390743785,9957.74055935149,10438.7580333449,10818.1586503167,11458.2270967968,12562.9649932723,13388.7379138475,13810.355526136,11686.1846639657,12753.3066340117,13635.4267666146,12736.5833891004,13621.1494726695,15003.3197518349,14143.6940733728,16228.1231235664,15700.6650479641,15785.819633781,15960.0156143903,15292.2624673252,17960.6254447437,19976.8343794474,21012.10319925
